director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,genres_list,title
Bill Condon,Loretta Devine,Jennifer Hudson,Anika Noni Rose,Drama Music Musical,dreamgirl,Loretta Devine Jennifer Hudson Anika Noni Rose Bill Condon Drama Music Musical,,
unknown,Adam Arkin,Brent Sexton,Damian Lewis,Crime Drama Mystery,life           ,Adam Arkin Brent Sexton Damian Lewis unknown Crime Drama Mystery,,
F. Gary Gray,Dwayne Johnson,Christina Milian,Debi Mazar,Comedy Crime Music,be coo,Dwayne Johnson Christina Milian Debi Mazar F. Gary Gray Comedy Crime Music,,
Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,Drama History Thriller,munic,Ayelet Zurer Moritz Bleibtreu Mathieu Amalric Steven Spielberg Drama History Thriller,,
Antoine Fuqua,Bruce Willis,Tom Skerritt,Cole Hauser,Action Drama Thriller War,tears of the su,Bruce Willis Tom Skerritt Cole Hauser Antoine Fuqua Action Drama Thriller War,,
Robert Luketic,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,Action Comedy Romance Thriller,killer,Tom Selleck Lisa Ann Walter Catherine O'Hara Robert Luketic Action Comedy Romance Thriller,,
Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,Action Adventure Comedy,the man from u.n.c.l.e,Henry Cavill Elizabeth Debicki Christian Berkel Guy Ritchie Action Adventure Comedy,,
James L. Brooks,Adam Sandler,Paz Vega,Sarah Steele,Comedy Drama Romance,spanglis,Adam Sandler Paz Vega Sarah Steele James L. Brooks Comedy Drama Romance,,
Gil Kenan,Steve Buscemi,Jon Heder,Catherine O'Hara,Animation Comedy Family Fantasy Mystery,monster hous,Steve Buscemi Jon Heder Catherine O'Hara Gil Kenan Animation Comedy Family Fantasy Mystery,,
Barry Levinson,Bruce Willis,Brían F. O'Byrne,Azura Skye,Comedy Crime Drama Romance,bandit,Bruce Willis Brían F. O'Byrne Azura Skye Barry Levinson Comedy Crime Drama Romance,,
Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,Action Adventure Romance Thriller,first knigh,Julia Ormond Ben Cross John Gielgud Jerry Zucker Action Adventure Romance Thriller,,
Andy Tennant,Bai Ling,Geoffrey Palmer,Randall Duk Kim,Drama History Romance,anna and the kin,Bai Ling Geoffrey Palmer Randall Duk Kim Andy Tennant Drama History Romance,,
Tarsem Singh,Henry Cavill,Daniel Sharman,Steve Byers,Action Drama Fantasy Romance,immortal,Henry Cavill Daniel Sharman Steve Byers Tarsem Singh Action Drama Fantasy Romance,,
Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,Action Crime Drama Mystery Thriller,hostag,Jimmy Bennett Bruce Willis Ransford Doherty Florent-Emilio Siri Action Crime Drama Mystery Thriller,,
Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,Action Adventure Animation Family Sci-Fi,titan a.e,Matt Damon Janeane Garofalo Nathan Lane Don Bluth Action Adventure Animation Family Sci-Fi,,
Ron Shelton,Harrison Ford,Bruce Greenwood,Lena Olin,Action Comedy Crime Thriller,hollywood homicid,Harrison Ford Bruce Greenwood Lena Olin Ron Shelton Action Comedy Crime Thriller,,
Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,Jason Scott Lee,Action Drama Sci-Fi,soldie,Connie Nielsen Sean Pertwee Jason Scott Lee Paul W.S. Anderson Action Drama Sci-Fi,,
David Pastor,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,Drama Horror Sci-Fi Thriller,carrier,Christopher Meloni Kiernan Shipka Lou Taylor Pucci David Pastor Drama Horror Sci-Fi Thriller,,
Henry Selick,Brendan Fraser,Bridget Fonda,Megan Mullally,Animation Comedy Fantasy,monkeybon,Brendan Fraser Bridget Fonda Megan Mullally Henry Selick Animation Comedy Fantasy,,
John Moore,Dennis Quaid,Tony Curran,Miranda Otto,Action Adventure Drama Thriller,flight of the phoeni,Dennis Quaid Tony Curran Miranda Otto John Moore Action Adventure Drama Thriller,,
M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,Drama Mystery Sci-Fi Thriller,unbreakabl,Robin Wright Bruce Willis Michael Kelly M. Night Shyamalan Drama Mystery Sci-Fi Thriller,,
Kyle Balda,Steve Carell,Jon Hamm,Steve Coogan,Action Animation Comedy Family Sci-Fi,minion,Steve Carell Jon Hamm Steve Coogan Kyle Balda Action Animation Comedy Family Sci-Fi,,
Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,Action Fantasy,sucker punc,Jon Hamm Abbie Cornish Scott Glenn Zack Snyder Action Fantasy,,
Brian De Palma,Nicolas Cage,Mike Starr,John Heard,Crime Mystery Thriller,snake eye,Nicolas Cage Mike Starr John Heard Brian De Palma Crime Mystery Thriller,,
Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,Drama Mystery Sci-Fi Thriller,spher,Peter Coyote James Pickens Jr. Huey Lewis Barry Levinson Drama Mystery Sci-Fi Thriller,,
Clay Kaytis,Peter Dinklage,Josh Gad,Keegan-Michael Key,Action Animation Comedy Family,the angry birds movi,Peter Dinklage Josh Gad Keegan-Michael Key Clay Kaytis Action Animation Comedy Family,,
Andy Tennant,Matthew McConaughey,Ray Winstone,Alexis Dziena,Action Adventure Comedy Romance Thriller,fool's gol,Matthew McConaughey Ray Winstone Alexis Dziena Andy Tennant Action Adventure Comedy Romance Thriller,,
Judd Apatow,Adam Sandler,RZA,Maude Apatow,Comedy Drama,funny peopl,Adam Sandler RZA Maude Apatow Judd Apatow Comedy Drama,,
Peter Berg,Jennifer Garner,Frances Fisher,Tim McGraw,Action Drama Thriller,the kingdo,Jennifer Garner Frances Fisher Tim McGraw Peter Berg Action Drama Thriller,,
Adam McKay,Will Ferrell,Leslie Bibb,Gary Cole,Action Comedy Sport,talladega nights: the ballad of ricky bobb,Will Ferrell Leslie Bibb Gary Cole Adam McKay Action Comedy Sport,,
Steve Carr,Raven-Symoné,Jeffrey Jones,Kevin Pollak,Comedy Family Fantasy,dr. dolittle ,Raven-Symoné Jeffrey Jones Kevin Pollak Steve Carr Comedy Family Fantasy,,
Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,Biography Drama History War,bravehear,Mhairi Calvey Patrick McGoohan James Robinson Mel Gibson Biography Drama History War,,
Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,Action Drama War,jarhea,Jake Gyllenhaal Brian Geraghty James Morrison Sam Mendes Action Drama War,,
David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,Adventure Animation Comedy,the simpsons movi,Albert Brooks Yeardley Smith Marcia Wallace David Silverman Adventure Animation Comedy,,
Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Drama Romance,the majesti,Martin Landau Hal Holbrook Jeffrey DeMunn Frank Darabont Drama Romance,,
Renny Harlin,Sylvester Stallone,Estella Warren,Cristián de la Fuente,Action Drama Sport,drive,Sylvester Stallone Estella Warren Cristián de la Fuente Renny Harlin Action Drama Sport,,
Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Adventure Drama Family,two brother,David Gant Jean-Claude Dreyfus Oanh Nguyen Jean-Jacques Annaud Adventure Drama Family,,
M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,Drama Mystery Romance Thriller,the villag,Bryce Dallas Howard Judy Greer William Hurt M. Night Shyamalan Drama Mystery Romance Thriller,,
Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,Comedy Family Fantasy,doctor dolittl,Oliver Platt Raven-Symoné Peter Boyle Betty Thomas Comedy Family Fantasy,,
M. Night Shyamalan,Rory Culkin,Merritt Wever,Cherry Jones,Drama Sci-Fi Thriller,sign,Rory Culkin Merritt Wever Cherry Jones M. Night Shyamalan Drama Sci-Fi Thriller,,
Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,Adventure Animation Comedy Family Fantasy Romance,shrek ,Rupert Everett Jennifer Saunders Conrad Vernon Andrew Adamson Adventure Animation Comedy Family Fantasy Romance,,
John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,Adventure Animation Comedy Family Sport,car,John Ratzenberger Cheech Marin George Carlin John Lasseter Adventure Animation Comedy Family Sport,,
Garry Marshall,Julia Roberts,Christopher Meloni,Hector Elizondo,Comedy Romance,runaway brid,Julia Roberts Christopher Meloni Hector Elizondo Garry Marshall Comedy Romance,,
Rob Cohen,Vin Diesel,Eve,Leila Arcieri,Action Adventure Thriller,xx,Vin Diesel Eve Leila Arcieri Rob Cohen Action Adventure Thriller,,
Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,Adventure Animation Comedy Family Fantasy,the spongebob movie: sponge out of wate,Tim Conway Billy West Eddie Deezen Paul Tibbitt Adventure Animation Comedy Family Fantasy,,
Ron Howard,Lili Taylor,Delroy Lindo,Rene Russo,Crime Thriller,ranso,Lili Taylor Delroy Lindo Rene Russo Ron Howard Crime Thriller,,
Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,Adventure Drama War,inglourious basterd,Michael Fassbender Brad Pitt Christoph Waltz Quentin Tarantino Adventure Drama War,,
Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action Adventure,hercule,Dwayne Johnson Rufus Sewell Ingrid Bolsø Berdal Brett Ratner Action Adventure,,
Renny Harlin,Bruce Willis,John Amos,Franco Nero,Action Thriller,die hard ,Bruce Willis John Amos Franco Nero Renny Harlin Action Thriller,,
Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,Action Adventure Crime Thriller,s.w.a.t,Jeremy Renner Josh Charles LL Cool J Clark Johnson Action Adventure Crime Thriller,,
unknown,Nicole Beharie,Katia Winter,Lyndie Greenwood,Adventure Drama Fantasy Mystery Thriller,sleepy hollow           ,Nicole Beharie Katia Winter Lyndie Greenwood unknown Adventure Drama Fantasy Mystery Thriller,,
Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,Fantasy Mystery Romance Sci-Fi Thriller,vanilla sk,Tom Cruise Ivana Milicevic Noah Taylor Cameron Crowe Fantasy Mystery Romance Sci-Fi Thriller,,
M. Night Shyamalan,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,Drama Fantasy Mystery Thriller,lady in the wate,Bryce Dallas Howard Freddy Rodríguez Bob Balaban M. Night Shyamalan Drama Fantasy Mystery Thriller,,
Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,Action Horror Sci-Fi Thriller,avp: alien vs. predato,Sanaa Lathan Colin Salmon Raoul Bova Paul W.S. Anderson Action Horror Sci-Fi Thriller,,
Betty Thomas,Amy Poehler,Bridgit Mendler,Jesse McCartney,Animation Comedy Family Fantasy Music,alvin and the chipmunks: the squeakque,Amy Poehler Bridgit Mendler Jesse McCartney Betty Thomas Animation Comedy Family Fantasy Music,,
Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,Action Drama History War,we were soldier,Jon Hamm Marc Blucas Chris Klein Randall Wallace Action Drama History War,,
Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,Action Thriller,olympus has falle,Gerard Butler Morgan Freeman Radha Mitchell Antoine Fuqua Action Thriller,,
Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,Action Adventure Sci-Fi Thriller,star trek: insurrectio,LeVar Burton Jonathan Frakes Michael Dorn Jonathan Frakes Action Adventure Sci-Fi Thriller,,
Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,Action Sci-Fi,battle los angele,Noel Fisher Jim Parrack Ramon Rodriguez Jonathan Liebesman Action Sci-Fi,,
Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,Adventure Drama Fantasy,big fis,Steve Buscemi Alison Lohman Albert Finney Tim Burton Adventure Drama Fantasy,,
Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,Drama Horror Romance Thriller,wol,David Hyde Pierce Peter Gerety Ron Rifkin Mike Nichols Drama Horror Romance Thriller,,
Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Drama War,war hors,Jeremy Irvine Benedict Cumberbatch Eddie Marsan Steven Spielberg Drama War,,
George Clooney,Bill Murray,Matt Damon,Bob Balaban,Drama War,the monuments me,Bill Murray Matt Damon Bob Balaban George Clooney Drama War,,
James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,Adventure Drama Sci-Fi Thriller,the abys,Michael Biehn Todd Graff Mary Elizabeth Mastrantonio James Cameron Adventure Drama Sci-Fi Thriller,,
Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,Drama,wall street: money never sleep,Frank Langella Austin Pendleton John Buffalo Mailer Oliver Stone Drama,,
Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,Action Drama Fantasy Horror War,dracula untol,Dominic Cooper Sarah Gadon Zach McGowan Gary Shore Action Drama Fantasy Horror War,,
Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,Action Thriller,the sieg,Denzel Washington Bruce Willis Mark Valley Edward Zwick Action Thriller,,
Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,Adventure Family Fantasy Romance,stardus,Henry Cavill David Kelly Nathaniel Parker Matthew Vaughn Adventure Family Fantasy Romance,,
Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War,seven years in tibe,Brad Pitt Mako Victor Wong Jean-Jacques Annaud Adventure Biography Drama History War,,
Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,Comedy Drama,the dilemm,Channing Tatum Clint Howard Chelcie Ross Ron Howard Comedy Drama,,
Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action Adventure Comedy Thriller,bad compan,Anthony Hopkins Brooke Smith Garcelle Beauvais Joel Schumacher Action Adventure Comedy Thriller,,
Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Action Adventure Horror Sci-Fi,doo,Dwayne Johnson Ben Daniels Dexter Fletcher Andrzej Bartkowiak Action Adventure Horror Sci-Fi,,
Betty Thomas,Gary Cole,Phill Lewis,Tate Taylor,Action Adventure Comedy Thriller,i sp,Gary Cole Phill Lewis Tate Taylor Betty Thomas Action Adventure Comedy Thriller,,
Måns Mårlind,Theo James,Stephen Rea,Sandrine Holt,Action Fantasy Horror,underworld: awakenin,Theo James Stephen Rea Sandrine Holt Måns Mårlind Action Fantasy Horror,,
Adam Shankman,James Martin Kelly,Shane Hartline,Celina Beach,Comedy Drama Musical Romance,rock of age,James Martin Kelly Shane Hartline Celina Beach Adam Shankman Comedy Drama Musical Romance,,
Gregory Hoblit,Bruce Willis,Cole Hauser,Rory Cochrane,Drama War,hart's wa,Bruce Willis Cole Hauser Rory Cochrane Gregory Hoblit Drama War,,
Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,Action Crime Thriller,killer elit,Jason Statham Robert De Niro Ben Mendelsohn Gary McKendry Action Crime Thriller,,
John McTiernan,LL Cool J,Chris Klein,Andrew Bryniarski,Action Sci-Fi Sport,rollerbal,LL Cool J Chris Klein Andrew Bryniarski John McTiernan Action Sci-Fi Sport,,
Wych Kaosayananda,Talisa Soto,Sandrine Holt,Gregg Henry,Action Crime Sci-Fi Thriller,ballistic: ecks vs. seve,Talisa Soto Sandrine Holt Gregg Henry Wych Kaosayananda Action Crime Sci-Fi Thriller,,
Mikael Salomon,Morgan Freeman,Minnie Driver,Randy Quaid,Action Crime Drama Thriller,hard rai,Morgan Freeman Minnie Driver Randy Quaid Mikael Salomon Action Crime Drama Thriller,,
Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,Action Adventure Animation Comedy Crime Family Fantasy,osmosis jone,Ron Howard Brandy Norwood David Hyde Pierce Bobby Farrelly Action Adventure Animation Comedy Crime Family Fantasy,,
Will Finn,Lea Michele,Oliver Platt,Jim Belushi,Adventure Animation Family Fantasy Musical,legends of oz: dorothy's retur,Lea Michele Oliver Platt Jim Belushi Will Finn Adventure Animation Family Fantasy Musical,,
Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller,blackha,Chris Hemsworth Archie Kao Brandon Molale Michael Mann Action Crime Drama Mystery Thriller,,
Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorro,Angelina Jolie Pitt Laurence Olivier Bai Ling Kerry Conran Action Adventure Mystery Sci-Fi Thriller,,
Michael Caton-Jones,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller,basic instinct ,Charlotte Rampling Indira Varma Neil Maskell Michael Caton-Jones Crime Mystery Thriller,,
Mikael Håfström,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller,escape pla,Sylvester Stallone 50 Cent Matt Gerald Mikael Håfström Action Crime Mystery Sci-Fi Thriller,,
Renny Harlin,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy,the legend of hercule,Roxanne McKee Luke Newberry Gaia Weiss Renny Harlin Action Adventure Fantasy,,
Phil Alden Robinson,Morgan Freeman,Bruce McGill,Philip Baker Hall,Action Drama Thriller,the sum of all fear,Morgan Freeman Bruce McGill Philip Baker Hall Phil Alden Robinson Action Drama Thriller,,
David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance,the twilight saga: eclips,Robert Pattinson Kristen Stewart Anna Kendrick David Slade Adventure Drama Fantasy Romance,,
Frank Oz,Robert De Niro,Marlon Brando,Gary Farmer,Crime Drama Thriller,the scor,Robert De Niro Marlon Brando Gary Farmer Frank Oz Crime Drama Thriller,,
Pierre Coffin,Steve Carell,Miranda Cosgrove,Jack McBrayer,Animation Comedy Family,despicable m,Steve Carell Miranda Cosgrove Jack McBrayer Pierre Coffin Animation Comedy Family,,
Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller,money trai,Vincent Pastore Robert Blake Aida Turturro Joseph Ruben Action Comedy Crime Drama Thriller,,
Seth MacFarlane,Liam Neeson,Morgan Freeman,Seth MacFarlane,Comedy,ted ,Liam Neeson Morgan Freeman Seth MacFarlane Seth MacFarlane Comedy,,
Alejandro Amenábar,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance,agor,Max Minghella Ashraf Barhom Rupert Evans Alejandro Amenábar Adventure Drama History Romance,,
Kinka Usher,Janeane Garofalo,Wes Studi,Eddie Izzard,Action Comedy Fantasy Sci-Fi,mystery me,Janeane Garofalo Wes Studi Eddie Izzard Kinka Usher Action Comedy Fantasy Sci-Fi,,
Bobby Farrelly,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Comedy Romance,hall pas,Jenna Fischer Larry Joe Campbell Stephen Merchant Bobby Farrelly Comedy Romance,,
Michael Mann,Al Pacino,Rip Torn,Debi Mazar,Biography Drama Thriller,the inside,Al Pacino Rip Torn Debi Mazar Michael Mann Biography Drama Thriller,,
Craig Gillespie,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller,the finest hour,Michael Raymond-James Abraham Benrubi Graham McTavish Craig Gillespie Action Drama History Thriller,,
Ridley Scott,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action Drama Thriller,body of lie,Leonardo DiCaprio Simon McBurney Michael Gaston Ridley Scott Action Drama Thriller,,
Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,Comedy,dinner for schmuck,Steve Carell Stephanie Szostak Bruce Greenwood Jay Roach Comedy,,
Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action Fantasy Horror,abraham lincoln: vampire hunte,Rufus Sewell Dominic Cooper Benjamin Walker Timur Bekmambetov Action Fantasy Horror,,
Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,Action Crime Romance Thriller,entrapmen,Will Patton Kevin McNally Maury Chaykin Jon Amiel Action Crime Romance Thriller,,
unknown,Hector Elizondo,Kaitlyn Dever,Nancy Travis,Comedy,last man standing           ,Hector Elizondo Kaitlyn Dever Nancy Travis unknown Comedy,,
Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller,the x file,Martin Landau Mitch Pileggi Jeffrey DeMunn Rob Bowman Drama Mystery Sci-Fi Thriller,,
Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War,the last legio,Colin Firth Nonso Anozie Owen Teale Doug Lefler Action Adventure Fantasy War,,
Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War,saving private rya,Tom Hanks Vin Diesel Matt Damon Steven Spielberg Action Drama War,,
Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller,need for spee,Rami Malek Dominic Cooper Ramon Rodriguez Scott Waugh Action Crime Drama Thriller,,
Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance,what women wan,Judy Greer Lisa Edelstein Loretta Devine Nancy Meyers Comedy Fantasy Romance,,
Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family,ice ag,Goran Visnjic Stephen Root Denis Leary Chris Wedge Adventure Animation Comedy Family,,
Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,Drama Horror Sci-Fi Thriller,dreamcatche,Morgan Freeman Michael O'Neill Reece Thompson Lawrence Kasdan Drama Horror Sci-Fi Thriller,,
Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War,lincol,Joseph Gordon-Levitt Hal Holbrook Bruce McGill Steven Spielberg Biography Drama History War,,
Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,Action Sci-Fi,the matri,Keanu Reeves Marcus Chong Gloria Foster Lana Wachowski Action Sci-Fi,,
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi,total recal,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action Sci-Fi,,
Michael Lembeck,Judge Reinhold,Aisha Tyler,Eric Lloyd,Comedy Family Fantasy,the santa clause ,Judge Reinhold Aisha Tyler Eric Lloyd Michael Lembeck Comedy Family Fantasy,,
Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Drama Musical Romance,les misérable,Hugh Jackman Eddie Redmayne Anne Hathaway Tom Hooper Drama Musical Romance,,
Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,Comedy Drama Romance,you've got mai,Tom Hanks Jean Stapleton Dave Chappelle Nora Ephron Comedy Drama Romance,,
Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,Comedy,step brother,Will Ferrell Adam Scott Andrea Savage Adam McKay Comedy,,
Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western,the mask of zorr,Anthony Hopkins Tony Amendola Stuart Wilson Martin Campbell Action Adventure Comedy Romance Thriller Western,,
Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama,due dat,Robert Downey Jr. RZA Matt Walsh Todd Phillips Comedy Drama,,
Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller,space cowboy,Clint Eastwood Courtney B. Vance William Devane Clint Eastwood Action Adventure Thriller,,
Renny Harlin,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller,cliffhange,Sylvester Stallone Leon Janine Turner Renny Harlin Action Adventure Thriller,,
John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller,broken arro,Delroy Lindo Samantha Mathis Bob Gunton John Woo Action Crime Thriller,,
Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy,the ki,Bruce Willis Lily Tomlin Daniel von Bargen Jon Turteltaub Comedy Family Fantasy,,
Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller,world trade cente,Nicolas Cage Jay Hernandez Armando Riesco Oliver Stone Drama History Thriller,,
Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama,mona lisa smil,Julia Roberts Kirsten Dunst Marian Seldes Mike Newell Drama,,
Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance,the dictato,Sayed Badreya Aasif Mandvi Horatio Sanz Larry Charles Comedy Romance,,
Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller,eyes wide shu,Tom Cruise Vinessa Shaw Sydney Pollack Stanley Kubrick Drama Mystery Thriller,,
Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical,anni,Quvenzhané Wallis Dorian Missick David Zayas Will Gluck Comedy Drama Family Musical,,
Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance,focu,Will Smith Adrian Martinez Gerald McRaney Glenn Ficarra Comedy Crime Drama Romance,,
McG,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance,this means wa,Tom Hardy Abigail Spencer Warren Christie McG Action Comedy Romance,,
David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinit,Ryan Reynolds Natasha Lyonne John Michael Higgins David S. Goyer Action Adventure Fantasy Horror Sci-Fi Thriller,,
John Milius,Lea Thompson,Jennifer Grey,William Smith,Action Drama War,red daw,Lea Thompson Jennifer Grey William Smith John Milius Action Drama War,,
Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama,primary color,Maura Tierney Adrian Lester Paul Guilfoyle Mike Nichols Comedy Drama,,
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller,resident evil: retributio,Milla Jovovich Boris Kodjoe Bingbing Li Paul W.S. Anderson Action Horror Sci-Fi Thriller,,
Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller,death rac,Jason Statham Max Ryan Joan Allen Paul W.S. Anderson Action Sci-Fi Thriller,,
Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller,the long kiss goodnigh,Melina Kanakaredes Craig Bierko Yvonne Zima Renny Harlin Action Crime Drama Mystery Thriller,,
Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller,proof of lif,Pamela Reed Alun Armstrong Michael Kitchen Taylor Hackford Action Drama Thriller,,
Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventur,Kristen Stewart Josh Hutcherson Jonah Bobo Jon Favreau Action Adventure Comedy Family Fantasy Sci-Fi,,
David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama,fight clu,Brad Pitt Meat Loaf Eugenie Bondurant David Fincher Drama,,
McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport,we are marshal,Matthew McConaughey Kimberly Williams-Paisley Brian Geraghty McG Drama Sport,,
unknown,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery,the missing           ,Jason Flemyng James Nesbitt Frances O'Connor unknown Crime Drama Mystery,,
Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy,hudson haw,Bruce Willis James Coburn Richard E. Grant Michael Lehmann Action Adventure Comedy,,
Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime,lucky number,Michael Rapaport Michael Moore Richard Schiff Nora Ephron Comedy Crime,,
